997806,1635
998350,1645
998894,1646
999452,1646
999990,1640
1000535,1641
1001093,1641
1001635,1645
1002181,1646
1002738,1645
1003276,1641
1003822,1641
1004379,1641
1004921,1645
1005468,1646
1006025,1646
1006566,1645
1007109,1641
1007666,1641
1008206,1640
1008754,1645
1009312,1646
1009851,1645
1010395,1641
1010958,1646
1011496,1645
1012041,1646
1012599,1641
1013136,1640
1013682,1641
1014239,1640
1014782,1646
1015327,1645
1015885,1646
1016422,1640
1016969,1642
1017526,1641
1018067,1645
1018610,1641
1019167,1641
1019707,1640
1020256,1646
1020813,1646
1021352,1645
1021896,1640
1022454,1641
1022992,1640
1023537,1641
1024095,1641
1024638,1646
1025183,1646
1025740,1645
1026278,1640
1026824,1641
1027385,1645
1027923,1645
1028470,1646
1029027,1642
1029569,1646
1030111,1641
1030674,1647
1031213,1644
1031756,1645
1032314,1640
1032858,1645
1033402,1646
1033960,1646
1034499,1641
1035043,1641
1035605,1645
1036143,1644
1036689,1646
1037246,1641
1037789,1646
1038335,1646
1038892,1646
1039434,1645
1039981,1646
1040538,1646
1041079,1645
1041627,1646
1042184,1646
1042724,1645
1043272,1645
1043830,1646
1044374,1650
1044918,1646
1046019,1645
1046564,1646
1047665,1646
1048210,1646
1049310,1645
1049856,1646
1051501,1645
1053147,1646
1054793,1646
1056439,1646
1058085,1646
1059730,1645
1045476,1646
1048767,1645
1050413,1646
1050955,1645
1052059,1646
1052600,1645
1053705,1646
1054245,1645
1055351,1646
1055890,1645
1056998,1647
1057546,1656
1058645,1647
1059187,1641
1060290,1645
1060831,1644
1061376,1646
1061935,1645
1062477,1646
1063022,1646
1063594,1659
1064126,1649
1064670,1648
1065228,1634
1065766,1640
1066314,1644
1066872,1644
1067414,1648
1067959,1645
1068520,1648
1069056,1642
1069606,1647
1070165,1645
1070702,1646
1071252,1646
1071806,1641
1072351,1649
1072905,1653
1073456,1650
1073996,1645
1074542,1637
1075102,1646
1075642,1646
1076188,1646
1076747,1645
1077292,1650
1077834,1646
1078393,1646
1078937,1645
1079485,1651
1080039,1646
1080582,1645
1081130,1645
1081690,1651
1082232,1650
1082776,1646
1083336,1646
1083877,1645
1084422,1646
1084982,1646
1085522,1645
1086073,1651
1086628,1646
1087172,1650
1087719,1646
1088274,1646
1088818,1646
1089364,1645
1089919,1645
1090463,1645
1091010,1646
1091565,1646
1092108,1645
1092656,1646
1093211,1646
1093753,1645
1094302,1646
1094857,1646
1095398,1645
1095948,1646
1096503,1646
1097043,1645
1097589,1641
1098149,1646
1098688,1645
1099234,1645
1099795,1646
1100333,1645
1100880,1646
1101435,1640
1101979,1646
1102526,1646
1103081,1646
1103624,1645
1104167,1641
1104727,1646
1105269,1645
1105813,1646
1106373,1646
1106914,1645
1107458,1645
1108019,1646
1108559,1645
1109104,1646
1109665,1646
1110204,1645
1110750,1646
1111311,1646
1111849,1645
1112396,1646
1112957,1646
1113500,1651
1114042,1646
1114602,1645
1115145,1645
1115688,1646
1116248,1646
1116790,1645
